"Product: %s is not added to cart.","Product: %s is not added to cart."
"Products: %s are not added to cart.","Products: %s are not added to cart."
"Product: %s is added to cart.","Product: %s is added to cart."
"Products: %s are added to cart.","Products: %s are added to cart."
"The requested quantity for %s is not available.","The requested quantity for %s is not available." 
